order,time_s,fiber_id,length_m,strain,tension_N,node_i,node_j
101,12.360925470219522,27,5.0681755270737044e-06,0.22999999999999998,1.7199254168679995e-15,6,122
102,12.627564915811398,313,4.688096824816298e-06,0.22999999999999993,1.7199254168679993e-15,79,178
103,12.72234703541874,281,8.292445381498371e-06,0.23,1.7199254168679997e-15,69,165
104,12.772362598261973,378,2.4600864640892963e-06,0.22999999999999998,1.7199254168679995e-15,108,181
105,13.018933449767927,58,8.036031076952956e-06,0.23,1.7199254168679997e-15,13,55
106,13.145409765479254,415,7.403653521978902e-06,0.2299999999999999,1.7199254168679983e-15,129,168
107,13.153745973933995,455,2.245308325842562e-06,0.23,1.7199254168679997e-15,158,189
108,13.17650703651558,38,8.260450981097905e-06,0.23,1.7199254168679997e-15,9,120
109,13.554979088290443,358,8.628889272240243e-06,0.22999999999999995,1.7199254168679993e-15,98,111
110,13.879683087975332,489,5.555555555555549e-06,0.23,1.7199254168679997e-15,207,208
111,14.138786475143638,204,5.73331185204765e-06,0.22999999999999995,1.7199254168679993e-15,47,161
112,14.418872973381761,442,3.5429682990030926e-06,0.2299999999999999,1.7199254168679983e-15,149,171
113,14.470347673283314,303,3.171589293834299e-06,0.23000000000000007,1.7199254168680001e-15,76,167
114,14.515751843554547,213,5.998677560133155e-06,0.2300000000000013,1.7199254168680111e-15,50,117
115,14.72390309034005,114,2.780689119263017e-06,0.23,1.7199254168679997e-15,26,52
116,14.791022604696082,40,5.678981043744811e-06,0.2299999999999999,1.7199254168679983e-15,9,163
117,15.15446117527927,250,6.3730086344703044e-06,0.22999999999999995,1.7199254168679993e-15,61,104
118,15.180881199965773,37,5.158950793834995e-06,0.23000000000000007,1.7199254168680001e-15,9,26
119,15.477276568610442,336,5.502766682187383e-06,0.22999999999999998,1.7199254168679995e-15,89,139
120,15.575680089411811,262,4.434305332946246e-06,0.23,1.7199254168679997e-15,64,129
121,15.605617642295327,346,1.9317623696566513e-06,0.23000000000000004,1.7199254168679997e-15,94,185
122,15.70949825340478,3,4.959954226738581e-06,0.23000000000000007,1.7199254168680001e-15,1,9
123,15.857586354155806,216,2.0389189363713767e-06,0.23000000000000004,1.7199254168679997e-15,51,86
124,16.15462893910021,498,5.555555555555549e-06,0.23,1.7199254168679997e-15,217,218
125,16.423500087851007,376,5.294815022563338e-06,0.22999999999999993,1.7199254168679993e-15,106,127
126,16.520732334740153,185,5.207290253345684e-06,0.22999999999999987,1.7199254168679983e-15,42,140
127,16.563839746961193,32,1.9358680475895334e-06,0.22999999999999993,1.7199254168679993e-15,7,55
128,17.05581910393356,260,4.275080653703855e-06,0.22999999999999998,1.7199254168679995e-15,64,77
129,17.08488765072923,453,2.645021802643191e-06,0.22999999999999998,1.7199254168679995e-15,155,199
130,17.09511903731275,411,5.15518284399229e-06,0.22999999999999998,1.7199254168679995e-15,125,166
131,17.124669866273823,166,7.417203215412861e-06,0.23000000000000007,1.7199254168680001e-15,37,61
132,17.26334379767953,443,1.5649189891585934e-06,0.22999999999999998,1.7199254168679995e-15,149,183
133,17.28968892030503,234,3.5046484637684817e-06,0.23000000000000004,1.7199254168679997e-15,57,65
134,17.45754715132308,487,5.5555555555555524e-06,0.23000000000000007,1.7199254168680001e-15,205,206
135,17.54924258288552,461,7.176745313301865e-06,0.2299999999999999,1.7199254168679983e-15,164,182
136,17.786458172417056,92,8.890221746464264e-06,0.22999999999999995,1.7199254168679993e-15,21,24
137,17.82877641993258,138,6.186533033774116e-06,0.23,1.7199254168679997e-15,31,60
138,17.943628890638806,459,3.933603446330363e-06,0.23000000000000004,1.7199254168679997e-15,163,191
139,18.4134196454267,21,2.144111442221736e-06,0.22999999999999993,1.7199254168679993e-15,4,115
140,18.56893584736927,495,5.555555555555556e-06,0.2299999999999999,1.7199254168679983e-15,214,215
141,18.61790824460451,393,6.3215705028973845e-06,0.2300000000000001,1.7199254168680005e-15,113,206
142,18.626078895175702,95,4.691860944299253e-06,0.23,1.7199254168679997e-15,21,137
143,18.845700040825157,180,3.099862931956743e-06,0.22999999999999987,1.7199254168679983e-15,41,128
144,18.946183603907603,184,5.7682132188866796e-06,0.22999999999999993,1.7199254168679993e-15,42,135
145,19.175139644962837,424,3.3336772696019753e-06,0.22999999999999995,1.7199254168679993e-15,134,181
146,19.451370719742723,329,3.291184066816612e-06,0.23000000000000007,1.7199254168680001e-15,85,138
147,19.535286564254413,430,1.9841648677502668e-06,0.23000000000000007,1.7199254168680001e-15,138,161
148,19.63381492173001,409,6.577664328575552e-06,0.2299999999999999,1.7199254168679983e-15,123,182
149,19.662525693766018,7,6.0809131548173704e-06,0.2300000000000001,1.7199254168680005e-15,1,120
150,20.180745683824586,83,1.8129939921727662e-06,0.22999999999999995,1.7199254168679993e-15,18,104
151,20.183786704833455,169,5.3017694420265965e-06,0.23,1.7199254168679997e-15,37,140
152,20.19722503991145,394,5.295756993453315e-06,0.22999999999999998,1.7199254168679995e-15,114,174
153,20.200670486246768,163,7.8052437110237e-06,0.22999999999999998,1.7199254168679995e-15,36,128
154,20.229702015179303,67,4.344769048872723e-06,0.23,1.7199254168679997e-15,14,167
155,20.313273553858856,433,5.927421822747511e-06,0.22999999999999995,1.7199254168679993e-15,141,156
156,20.378523612482724,222,2.344001439569072e-06,0.22999999999999998,1.7199254168679995e-15,52,183
157,20.558769906820928,289,5.969188994309896e-06,0.22999999999999993,1.7199254168679993e-15,72,91
158,20.70623469202757,171,7.462940482494295e-06,0.23,1.7199254168679997e-15,37,203
159,20.72847666259101,82,4.107960368428833e-06,0.23000000000000004,1.7199254168679997e-15,18,76
160,20.8809043919605,231,3.6808727080902563e-06,0.23,1.7199254168679997e-15,56,85
161,20.96899738074259,476,4.113851726716207e-06,0.23000000000000004,1.7199254168679997e-15,177,199
162,21.220343470041964,226,8.845703991983889e-06,0.23000000000000004,1.7199254168679997e-15,54,168
163,21.3483520680834,94,6.115209314755097e-06,0.22999999999999998,1.7199254168679995e-15,21,94
164,21.390497480055664,102,5.079291885624898e-06,0.23,1.7199254168679997e-15,22,147
165,21.39737954557297,270,6.630295829841554e-06,0.22999999999999998,1.7199254168679995e-15,67,114
166,21.407919360949794,13,4.053254213102968e-06,0.23000000000000004,1.7199254168679997e-15,3,52
167,21.64323798843089,416,6.792734088524432e-06,0.2299999999999999,1.7199254168679983e-15,130,170
168,22.363442985727264,285,5.484107590246238e-06,0.22999999999999998,1.7199254168679995e-15,70,179
169,22.529110935443452,25,3.066822341836249e-06,0.23000000000000004,1.7199254168679997e-15,5,192
170,22.641318205341694,223,2.907294878418684e-06,0.2299999999999999,1.7199254168679983e-15,53,72
171,22.69050111015658,287,3.618966058949109e-06,0.22999999999999562,1.7199254168679607e-15,71,116
172,23.019254478628934,212,8.644455746927494e-06,0.23000000000000145,1.7199254168680125e-15,50,116
173,23.239403739284537,245,7.775452537805923e-06,0.22999999999999998,1.7199254168679995e-15,59,189
174,23.27379927248269,167,5.91896388846508e-06,0.22999999999999987,1.7199254168679983e-15,37,102
175,23.30400502479012,51,4.494587106848422e-06,0.22999999999999993,1.7199254168679993e-15,12,41
176,23.41258509497692,261,4.6282940358742285e-06,0.22999999999999998,1.7199254168679995e-15,64,104
177,23.485462237772772,244,7.3392366296798e-06,0.23,1.7199254168679997e-15,59,179
178,23.68473189566885,165,4.552293071837751e-06,0.22999999999999998,1.7199254168679995e-15,36,198
179,23.8022592752973,305,6.3684086162952086e-06,0.22999999999999998,1.7199254168679995e-15,77,129
180,24.084423331999457,33,1.6258395906549354e-06,0.22999999999999998,1.7199254168679995e-15,7,126
181,24.112922254042218,405,8.1628934457269e-06,0.23,1.7199254168679997e-15,121,156
182,24.1772810117403,499,5.555555555555556e-06,0.2299999999999999,1.7199254168679983e-15,218,219
183,24.368499668345322,150,4.878760936479634e-06,0.23000000000000004,1.7199254168679997e-15,33,91
184,24.566850702794007,196,6.459335087568877e-06,0.23000000000000004,1.7199254168679997e-15,45,130
185,24.747008273657837,159,8.925116899196012e-06,0.23000000000000004,1.7199254168679997e-15,35,115
186,25.243301709084967,464,5.296895524700164e-06,0.22999999999999987,1.7199254168679983e-15,166,193
187,25.532110469253137,439,7.1982799258658075e-06,0.23000000000000093,1.7199254168680076e-15,148,216
188,25.732767450660198,377,6.513757361454587e-06,0.23,1.7199254168679997e-15,106,130
189,25.784932131341098,324,2.4398725809045768e-06,0.23000000000000007,1.7199254168680001e-15,84,159
190,25.992788522735967,99,7.66303475342707e-06,0.22999999999999998,1.7199254168679995e-15,22,89
191,26.267260905608545,352,2.828275725819247e-06,0.22999999999999998,1.7199254168679995e-15,96,130
192,26.619277999473923,89,7.988674894582223e-06,0.23,1.7199254168679997e-15,20,88
193,27.040382859735125,272,5.116806155626796e-06,0.22999999999999668,1.7199254168679693e-15,68,71
194,27.048847062099508,350,6.098679016136908e-06,0.23000000000000004,1.7199254168679997e-15,95,180
195,27.609302446763667,179,9.861705595426716e-07,0.22999999999999993,1.7199254168679993e-15,40,182
196,27.659527512179245,77,1.774742958589066e-06,0.22999999999999995,1.7199254168679993e-15,17,55
197,27.887693007882202,207,6.786896910000935e-06,0.22999999999999998,1.7199254168679995e-15,48,131
198,27.91768768825338,188,6.849303702805226e-06,0.23,1.7199254168679997e-15,43,105
199,27.92508201868653,4,6.230903451106272e-06,0.23000000000000004,1.7199254168679997e-15,1,22
200,28.23187314377488,340,8.872072794719816e-06,0.22999999999999998,1.7199254168679995e-15,91,101
201,28.234380821326933,176,7.627504313367809e-06,0.23000000000000004,1.7199254168679997e-15,39,190
202,28.400647144695984,126,4.5805541543466865e-06,0.23,1.7199254168679997e-15,29,87
203,28.903848539814035,242,5.673607720691857e-06,0.23,1.7199254168679997e-15,59,153
204,28.94769640076864,230,4.988274309370954e-06,0.23,1.7199254168679997e-15,56,78
205,28.96114328798241,247,1.8799781260749995e-06,0.23,1.7199254168679997e-15,60,196
206,30.08472294895323,174,8.022102644650572e-06,0.2299999999999999,1.7199254168679983e-15,38,127
207,30.130537606954572,368,6.043753397468186e-06,0.23,1.7199254168679997e-15,102,119
208,30.43093349582412,435,7.844709144609896e-06,0.22999999999999998,1.7199254168679995e-15,142,176
209,30.656868507565235,113,8.66353237462077e-06,0.22999999999999993,1.7199254168679993e-15,25,187
210,30.676537024397344,410,5.007392321216419e-06,0.2299999999999999,1.7199254168679983e-15,124,157
211,30.704723324062446,246,4.501385697056422e-06,0.23,1.7199254168679997e-15,60,176
212,30.743452816526563,224,1.3359817136984596e-06,0.22999999999999987,1.7199254168679983e-15,53,126
213,30.987708684394047,462,8.326647326275156e-06,0.22999999999999998,1.7199254168679995e-15,164,195
214,31.696167955245084,98,3.438851910852281e-07,0.23000000000000004,1.7199254168679997e-15,22,83
215,31.949664172957693,202,2.6082632404109954e-06,0.22999999999999987,1.7199254168679983e-15,47,56
216,32.5538740802638,436,6.244221497013622e-06,0.22999999999999998,1.7199254168679995e-15,143,203
217,32.85321323031279,218,3.856982513221038e-06,0.23,1.7199254168679997e-15,51,159
218,33.50108919264998,23,8.384315080083253e-06,0.22999999999999998,1.7199254168679995e-15,5,88
219,34.036834486889894,383,2.194942175547527e-06,0.22999999999999998,1.7199254168679995e-15,110,138
